Topo,Z,Corr,Lmax,K,Theta,Lambda,b,REPS,STEPS,C_mean,C_std,SE_C,V_mean,V_std,SE_V
BA,4,max,1,0.5,0.2,0.1,1.6,50,15000,1.0,0.0,0.0,0.9966799999999999,0.0016785708206685846,0.00023738576199932486
BA,4,max,1,0.5,0.2,0.1,1.7,50,15000,1.0,0.0,0.0,0.9967200000000003,0.001732512626216619,0.0002450142852978171
BA,4,max,1,0.5,0.2,0.1,1.8,50,15000,0.9970332000000001,0.02076759999999985,0.002936982157793928,0.9770400000000001,0.13958581016707966,0.01974041458531203
BA,4,max,1,0.5,0.2,0.1,1.9,50,15000,0.9937583999999999,0.043691200000000076,0.006178868759635548,0.9771199999999999,0.13959493400550035,0.019741704890915576
BA,4,max,1,0.5,0.2,0.1,2.0,50,15000,1.0,0.0,0.0,0.99692,0.0016104657711357932,0.00022775425352778835
BA,4,max,1,0.5,0.2,0.2,1.0,50,15000,1.0,0.0,0.0,0.99664,0.0016218507946170648,0.00022936433898930342
BA,4,max,1,0.5,0.2,0.2,1.1,50,15000,1.0,0.0,0.0,0.9970399999999999,0.001341044369139218,0.0001896523134580753
BA,4,max,1,0.5,0.2,0.2,1.2,50,15000,1.0,0.0,0.0,0.9968800000000002,0.0013362634470792064,0.0001889761889762836
BA,4,max,1,0.5,0.2,0.2,1.3,50,15000,1.0,0.0,0.0,0.9968,0.0021540659228538035,0.0003046309242345566
BA,4,max,1,0.5,0.2,0.2,1.4,50,15000,1.0,0.0,0.0,0.9765199999999998,0.13952881279506396,0.019732353939659608
BA,4,max,1,0.5,0.2,0.2,1.5,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9367599999999999,0.23667763392428953,0.03347127198061048
BA,4,max,1,0.5,0.2,0.2,1.6,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.937,0.23673656244864247,0.03347960573244553
BA,4,max,1,0.5,0.2,0.2,1.7,50,15000,1.0,0.0,0.0,0.9571599999999999,0.19539133655308258,0.027632507812357526
BA,4,max,1,0.5,0.2,0.2,1.8,50,15000,0.9766544,0.14147308906163036,0.02000731612617744,0.9372000000000001,0.23661614484223178,0.03346257611123209
BA,4,max,1,0.5,0.2,0.2,1.9,50,15000,0.9504382666666668,0.16902033487028187,0.023903084989039477,0.8976000000000001,0.2990689552594853,0.04229473726127165
BA,4,max,1,0.5,0.2,0.2,2.0,50,15000,0.9537384,0.17144260229559177,0.024245645333496258,0.9174800000000001,0.2704058608832286,0.038241163580623426
BA,4,max,1,0.5,0.2,0.5,1.0,50,15000,1.0,0.0,0.0,0.9964399999999999,0.002050950998927085,0.00029004827184453305
BA,4,max,1,0.5,0.2,0.5,1.1,50,15000,1.0,0.0,0.0,0.9968,0.0016492422502470657,0.0002332380757938122
BA,4,max,1,0.5,0.2,0.5,1.2,50,15000,1.0,0.0,0.0,0.99712,0.0015574337867145442,0.00022025439836697945
